task_id,task_type,weather,operator_skill,machine_age_years,estimated_minutes,actual_minutes,provenance,air_temperature_c,soil_type,soil_moisture_percent_vwc,machine_id,operator_id,started_at,generator_version,generation_seed
T0299,Trenching,Cloudy,Expert,3.8,41.0,48.0,synthetic,21.1,Clay,21.7,EXC001,OP2001,2025-05-06T11:40:00Z,data-001-v1,42
T0156,Earth Excavation,Cloudy,Intermediate,1.9,68.0,77.0,synthetic,18.7,Loam,35.7,EXC001,OP2001,2025-05-06T13:35:00Z,data-001-v1,42
T0120,Earth Excavation,Cloudy,Beginner,3.3,58.0,89.0,synthetic,25.2,Sand,41.3,EXC001,OP2001,2025-05-06T13:56:00Z,data-001-v1,42
T0485,Grading,Rainy,Expert,4.7,31.0,40.0,synthetic,23.9,Loam,48.0,EXC002,OP1001,2025-05-06T16:43:00Z,data-001-v1,42
T0574,Demolition,Sunny,Expert,3.9,84.0,87.0,synthetic,23.8,Sand,52.8,EXC001,OP2001,2025-05-06T17:16:00Z,data-001-v1,42
T0108,Earth Excavation,Sunny,Beginner,3.7,65.0,68.0,synthetic,29.1,Loam,47.9,EXC001,OP1001,2025-05-07T06:12:00Z,data-001-v1,42
T0151,Earth Excavation,Rainy,Intermediate,2.8,57.0,108.0,synthetic,18.1,Clay,21.9,EXC001,OP2001,2025-05-07T08:00:00Z,data-001-v1,42
T0441,Grading,Sunny,Intermediate,4.8,34.0,35.0,synthetic,25.5,Sand,18.4,EXC002,OP1001,2025-05-07T08:12:00Z,data-001-v1,42
T0308,Trenching,Windy,Expert,2.6,49.0,47.0,synthetic,14.0,Loam,31.2,EXC001,OP1001,2025-05-07T09:44:00Z,data-001-v1,42
T0396,Material Loading,Cloudy,Expert,4.7,32.0,37.0,synthetic,24.7,Clay,45.4,EXC002,OP1001,2025-05-07T11:34:00Z,data-001-v1,42
T0139,Earth Excavation,Sunny,Intermediate,6.5,61.0,72.0,synthetic,17.1,Clay,22.9,EXC002,OP2001,2025-05-07T12:09:00Z,data-001-v1,42
T0546,Demolition,Rainy,Intermediate,6.9,89.0,112.0,synthetic,30.8,Gravel,52.4,EXC002,OP2001,2025-05-07T12:16:00Z,data-001-v1,42
T0589,Demolition,Cloudy,Expert,3.9,96.0,121.0,synthetic,34.1,Clay,14.9,EXC001,OP2001,2025-05-07T12:38:00Z,data-001-v1,42
T0451,Grading,Rainy,Intermediate,6.0,31.0,49.0,synthetic,22.4,Loam,69.5,EXC002,OP1001,2025-05-07T13:55:00Z,data-001-v1,42
T0174,Earth Excavation,Sunny,Expert,3.5,57.0,61.0,synthetic,30.0,Clay,5.8,EXC001,OP2001,2025-05-07T16:04:00Z,data-001-v1,42
T0597,Demolition,Windy,Expert,6.1,104.0,72.0,synthetic,34.7,Loam,19.0,EXC002,OP1001,2025-05-07T17:28:00Z,data-001-v1,42
T0349,Material Loading,Sunny,Intermediate,1.9,33.0,32.0,synthetic,25.4,Loam,13.5,EXC001,OP2001,2025-05-07T17:53:00Z,data-001-v1,42
T0230,Trenching,Cloudy,Beginner,5.4,44.0,58.0,synthetic,27.2,Loam,18.7,EXC002,OP1001,2025-05-08T07:01:00Z,data-001-v1,42
T0372,Material Loading,Windy,Intermediate,2.8,28.0,39.0,synthetic,22.6,Loam,52.2,EXC001,OP1001,2025-05-08T07:02:00Z,data-001-v1,42
T0263,Trenching,Cloudy,Intermediate,2.5,42.0,43.0,synthetic,18.5,Loam,40.6,EXC001,OP2001,2025-05-08T07:45:00Z,data-001-v1,42
T0111,Earth Excavation,Rainy,Beginner,2.3,60.0,81.0,synthetic,25.1,Gravel,64.3,EXC001,OP1001,2025-05-08T07:55:00Z,data-001-v1,42
T0219,Trenching,Rainy,Beginner,1.8,49.0,67.0,synthetic,27.2,Clay,31.9,EXC001,OP1001,2025-05-08T08:48:00Z,data-001-v1,42
T0246,Trenching,Sunny,Intermediate,3.8,52.0,52.0,synthetic,15.6,Sand,21.2,EXC001,OP1001,2025-05-08T09:29:00Z,data-001-v1,42
T0493,Grading,Cloudy,Expert,2.2,32.0,31.0,synthetic,28.4,Sand,14.3,EXC001,OP1001,2025-05-08T09:54:00Z,data-001-v1,42
T0157,Earth Excavation,Cloudy,Intermediate,6.2,63.0,56.0,synthetic,26.7,Sand,7.6,EXC002,OP1001,2025-05-08T12:54:00Z,data-001-v1,42
T0234,Trenching,Cloudy,Beginner,5.2,44.0,59.0,synthetic,22.6,Loam,38.6,EXC002,OP2001,2025-05-08T14:47:00Z,data-001-v1,42
T0424,Grading,Rainy,Beginner,1.6,36.0,62.0,synthetic,19.9,Clay,34.0,EXC001,OP1001,2025-05-08T16:40:00Z,data-001-v1,42
T0486,Grading,Rainy,Expert,4.7,35.0,35.0,synthetic,21.9,Loam,47.6,EXC002,OP1001,2025-05-09T06:04:00Z,data-001-v1,42
T0379,Material Loading,Sunny,Expert,2.0,29.0,27.0,synthetic,35.7,Clay,23.2,EXC001,OP1001,2025-05-09T06:36:00Z,data-001-v1,42
T0378,Material Loading,Sunny,Expert,1.9,33.0,32.0,synthetic,16.0,Loam,51.5,EXC001,OP2001,2025-05-09T07:32:00Z,data-001-v1,42
T0140,Earth Excavation,Sunny,Intermediate,6.5,61.0,66.0,synthetic,18.5,Clay,30.5,EXC002,OP2001,2025-05-09T08:01:00Z,data-001-v1,42
T0330,Material Loading,Cloudy,Beginner,1.6,32.0,48.0,synthetic,22.8,Clay,17.3,EXC001,OP1001,2025-05-09T08:48:00Z,data-001-v1,42
T0374,Material Loading,Windy,Intermediate,5.1,32.0,40.0,synthetic,30.1,Clay,15.5,EXC002,OP1001,2025-05-09T11:50:00Z,data-001-v1,42
T0463,Grading,Cloudy,Intermediate,5.5,39.0,42.0,synthetic,22.1,Loam,39.0,EXC002,OP1001,2025-05-09T12:05:00Z,data-001-v1,42
T0577,Demolition,Rainy,Expert,6.5,92.0,121.0,synthetic,13.3,Clay,31.1,EXC002,OP1001,2025-05-09T13:29:00Z,data-001-v1,42
T0368,Material Loading,Cloudy,Intermediate,1.8,27.0,36.0,synthetic,22.1,Gravel,51.6,EXC001,OP1001,2025-05-09T13:31:00Z,data-001-v1,42
T0147,Earth Excavation,Rainy,Intermediate,4.8,63.0,76.0,synthetic,27.6,Clay,35.9,EXC002,OP2001,2025-05-09T15:09:00Z,data-001-v1,42
T0292,Trenching,Rainy,Expert,2.1,44.0,51.0,synthetic,36.7,Gravel,61.6,EXC001,OP2001,2025-05-09T15:39:00Z,data-001-v1,42
T0105,Earth Excavation,Sunny,Beginner,4.7,59.0,43.0,synthetic,7.2,Clay,35.1,EXC002,OP2001,2025-05-10T06:11:00Z,data-001-v1,42
T0237,Trenching,Windy,Beginner,2.8,42.0,35.0,synthetic,29.4,Loam,48.4,EXC001,OP2001,2025-05-10T06:24:00Z,data-001-v1,42
T0529,Demolition,Windy,Beginner,6.2,80.0,121.0,synthetic,23.1,Sand,31.2,EXC002,OP2001,2025-05-10T06:52:00Z,data-001-v1,42
T0594,Demolition,Windy,Expert,5.5,90.0,88.0,synthetic,23.1,Loam,12.3,EXC002,OP1001,2025-05-10T06:55:00Z,data-001-v1,42
T0115,Earth Excavation,Rainy,Beginner,4.0,58.0,92.0,synthetic,29.2,Loam,35.4,EXC001,OP1001,2025-05-10T07:08:00Z,data-001-v1,42
T0199,Earth Excavation,Cloudy,Expert,3.8,62.0,82.0,synthetic,37.6,Loam,41.7,EXC001,OP1001,2025-05-10T09:00:00Z,data-001-v1,42
T0437,Grading,Windy,Beginner,1.7,35.0,38.0,synthetic,13.5,Sand,54.5,EXC001,OP2001,2025-05-10T12:43:00Z,data-001-v1,42
T0520,Demolition,Rainy,Beginner,4.7,92.0,147.0,synthetic,24.4,Sand,37.1,EXC002,OP2001,2025-05-10T15:43:00Z,data-001-v1,42
T0325,Material Loading,Rainy,Beginner,3.7,26.0,37.0,synthetic,20.5,Loam,49.7,EXC001,OP1001,2025-05-10T17:08:00Z,data-001-v1,42
T0393,Material Loading,Cloudy,Expert,5.6,31.0,36.0,synthetic,10.1,Clay,33.1,EXC002,OP2001,2025-05-10T17:14:00Z,data-001-v1,42
T0103,Earth Excavation,Sunny,Beginner,3.9,62.0,49.0,synthetic,23.8,Gravel,11.5,EXC001,OP1001,2025-05-10T17:31:00Z,data-001-v1,42
T0582,Demolition,Rainy,Expert,3.6,86.0,136.0,synthetic,22.6,Clay,54.9,EXC001,OP1001,2025-05-10T17:34:00Z,data-001-v1,42
T0525,Demolition,Cloudy,Beginner,6.2,84.0,127.0,synthetic,31.3,Gravel,31.1,EXC002,OP1001,2025-05-11T07:18:00Z,data-001-v1,42
T0477,Grading,Sunny,Expert,4.9,33.0,35.0,synthetic,12.5,Loam,8.3,EXC002,OP1001,2025-05-11T11:20:00Z,data-001-v1,42
T0309,Trenching,Windy,Expert,1.5,41.0,36.0,synthetic,29.3,Sand,36.7,EXC001,OP1001,2025-05-11T11:57:00Z,data-001-v1,42
T0273,Trenching,Windy,Intermediate,5.6,44.0,60.0,synthetic,27.5,Loam,46.3,EXC002,OP1001,2025-05-11T12:07:00Z,data-001-v1,42
T0471,Grading,Windy,Intermediate,3.9,35.0,38.0,synthetic,29.8,Sand,15.2,EXC001,OP1001,2025-05-11T13:35:00Z,data-001-v1,42
T0591,Demolition,Cloudy,Expert,2.4,87.0,59.0,synthetic,27.7,Gravel,40.8,EXC001,OP2001,2025-05-11T13:39:00Z,data-001-v1,42
T0320,Material Loading,Sunny,Beginner,4.6,30.0,32.0,synthetic,24.3,Sand,11.3,EXC002,OP1001,2025-05-11T14:54:00Z,data-001-v1,42
T0445,Grading,Sunny,Intermediate,3.2,36.0,43.0,synthetic,38.2,Clay,11.5,EXC001,OP2001,2025-05-11T15:09:00Z,data-001-v1,42
T0458,Grading,Cloudy,Intermediate,1.8,33.0,39.0,synthetic,18.7,Loam,49.4,EXC001,OP2001,2025-05-11T16:11:00Z,data-001-v1,42
T0327,Material Loading,Rainy,Beginner,6.5,29.0,62.0,synthetic,27.4,Clay,65.8,EXC002,OP1001,2025-05-11T16:12:00Z,data-001-v1,42
T0460,Grading,Cloudy,Intermediate,6.2,40.0,37.0,synthetic,24.1,Gravel,30.6,EXC002,OP1001,2025-05-11T16:55:00Z,data-001-v1,42
T0524,Demolition,Cloudy,Beginner,6.3,94.0,114.0,synthetic,14.2,Loam,34.1,EXC002,OP1001,2025-05-11T17:11:00Z,data-001-v1,42
T0303,Trenching,Cloudy,Expert,6.0,41.0,56.0,synthetic,25.6,Clay,14.8,EXC002,OP2001,2025-05-12T06:12:00Z,data-001-v1,42
T0168,Earth Excavation,Windy,Intermediate,5.6,59.0,83.0,synthetic,30.9,Sand,18.0,EXC002,OP2001,2025-05-12T06:25:00Z,data-001-v1,42
T0397,Material Loading,Cloudy,Expert,3.2,30.0,26.0,synthetic,35.5,Loam,12.2,EXC001,OP1001,2025-05-12T07:03:00Z,data-001-v1,42
T0403,Material Loading,Windy,Expert,5.0,30.0,28.0,synthetic,22.7,Sand,27.1,EXC002,OP1001,2025-05-12T07:07:00Z,data-001-v1,42
T0568,Demolition,Windy,Intermediate,2.2,87.0,119.0,synthetic,27.6,Clay,48.5,EXC001,OP1001,2025-05-12T07:52:00Z,data-001-v1,42
T0289,Trenching,Rainy,Expert,6.9,46.0,46.0,synthetic,28.3,Loam,62.5,EXC002,OP2001,2025-05-12T08:01:00Z,data-001-v1,42
T0184,Earth Excavation,Rainy,Expert,6.7,63.0,89.0,synthetic,25.8,Gravel,39.3,EXC002,OP1001,2025-05-12T08:31:00Z,data-001-v1,42
T0261,Trenching,Rainy,Intermediate,2.3,40.0,51.0,synthetic,10.8,Loam,62.2,EXC001,OP1001,2025-05-12T08:49:00Z,data-001-v1,42
T0434,Grading,Windy,Beginner,2.7,29.0,57.0,synthetic,25.8,Loam,51.0,EXC001,OP1001,2025-05-12T10:44:00Z,data-001-v1,42
T0453,Grading,Rainy,Intermediate,2.2,35.0,40.0,synthetic,24.3,Loam,20.6,EXC001,OP2001,2025-05-12T10:51:00Z,data-001-v1,42
T0569,Demolition,Sunny,Expert,5.9,86.0,111.0,synthetic,34.4,Clay,38.1,EXC002,OP1001,2025-05-12T11:10:00Z,data-001-v1,42
T0185,Earth Excavation,Rainy,Expert,1.7,56.0,59.0,synthetic,28.9,Loam,37.2,EXC001,OP2001,2025-05-12T13:02:00Z,data-001-v1,42
T0351,Material Loading,Sunny,Intermediate,5.2,26.0,41.0,synthetic,16.2,Loam,21.5,EXC002,OP2001,2025-05-12T13:02:00Z,data-001-v1,42
T0559,Demolition,Cloudy,Intermediate,3.9,94.0,106.0,synthetic,27.5,Sand,49.4,EXC001,OP1001,2025-05-12T16:25:00Z,data-001-v1,42
T0192,Earth Excavation,Cloudy,Expert,1.5,57.0,69.0,synthetic,21.5,Clay,47.2,EXC001,OP1001,2025-05-12T16:28:00Z,data-001-v1,42
T0497,Grading,Windy,Expert,1.9,33.0,34.0,synthetic,25.7,Sand,53.8,EXC001,OP2001,2025-05-12T16:31:00Z,data-001-v1,42
T0557,Demolition,Cloudy,Intermediate,5.4,91.0,114.0,synthetic,27.3,Loam,5.4,EXC002,OP1001,2025-05-12T16:46:00Z,data-001-v1,42
T0281,Trenching,Sunny,Expert,3.7,44.0,36.0,synthetic,13.3,Loam,10.5,EXC001,OP2001,2025-05-12T16:58:00Z,data-001-v1,42
T0361,Material Loading,Cloudy,Intermediate,6.2,32.0,26.0,synthetic,32.4,Gravel,10.8,EXC002,OP2001,2025-05-13T06:34:00Z,data-001-v1,42
T0136,Earth Excavation,Windy,Beginner,6.7,64.0,80.0,synthetic,30.5,Sand,11.4,EXC002,OP1001,2025-05-13T06:42:00Z,data-001-v1,42
T0507,Demolition,Sunny,Beginner,6.5,92.0,129.0,synthetic,29.0,Sand,34.7,EXC002,OP1001,2025-05-13T07:58:00Z,data-001-v1,42
T0318,Material Loading,Sunny,Beginner,6.1,27.0,41.0,synthetic,1.4,Gravel,28.3,EXC002,OP1001,2025-05-13T08:14:00Z,data-001-v1,42
T0499,Grading,Windy,Expert,2.7,36.0,31.0,synthetic,28.3,Gravel,12.2,EXC001,OP1001,2025-05-13T09:59:00Z,data-001-v1,42
T0222,Trenching,Rainy,Beginner,5.1,47.0,84.0,synthetic,21.7,Gravel,38.4,EXC002,OP2001,2025-05-13T10:02:00Z,data-001-v1,42
T0350,Material Loading,Sunny,Intermediate,4.0,32.0,42.0,synthetic,11.2,Clay,40.9,EXC001,OP1001,2025-05-13T10:29:00Z,data-001-v1,42
T0365,Material Loading,Cloudy,Intermediate,5.2,29.0,39.0,synthetic,23.8,Clay,14.6,EXC002,OP2001,2025-05-13T11:29:00Z,data-001-v1,42
T0249,Trenching,Sunny,Intermediate,5.6,38.0,49.0,synthetic,30.5,Loam,21.3,EXC002,OP1001,2025-05-13T11:39:00Z,data-001-v1,42
T0247,Trenching,Sunny,Intermediate,4.9,44.0,52.0,synthetic,23.3,Gravel,51.6,EXC002,OP2001,2025-05-13T12:56:00Z,data-001-v1,42
T0134,Earth Excavation,Windy,Beginner,5.9,62.0,82.0,synthetic,19.5,Sand,5.2,EXC002,OP1001,2025-05-13T12:59:00Z,data-001-v1,42
T0521,Demolition,Cloudy,Beginner,1.5,91.0,78.0,synthetic,21.7,Clay,7.0,EXC001,OP2001,2025-05-13T13:30:00Z,data-001-v1,42
T0154,Earth Excavation,Rainy,Intermediate,6.4,64.0,69.0,synthetic,13.8,Gravel,49.1,EXC002,OP1001,2025-05-13T15:45:00Z,data-001-v1,42
T0307,Trenching,Windy,Expert,1.9,44.0,42.0,synthetic,27.6,Loam,22.4,EXC001,OP2001,2025-05-13T17:04:00Z,data-001-v1,42
T0373,Material Loading,Windy,Intermediate,4.8,32.0,52.0,synthetic,24.4,Gravel,49.0,EXC002,OP2001,2025-05-13T17:51:00Z,data-001-v1,42
T0433,Grading,Windy,Beginner,2.0,33.0,55.0,synthetic,18.7,Loam,24.4,EXC001,OP1001,2025-05-13T17:55:00Z,data-001-v1,42
T0518,Demolition,Rainy,Beginner,6.5,90.0,193.0,synthetic,24.8,Gravel,65.3,EXC002,OP2001,2025-05-14T06:33:00Z,data-001-v1,42
T0366,Material Loading,Cloudy,Intermediate,5.1,33.0,39.0,synthetic,23.8,Gravel,30.3,EXC002,OP2001,2025-05-14T07:23:00Z,data-001-v1,42
T0158,Earth Excavation,Cloudy,Intermediate,2.1,58.0,88.0,synthetic,35.9,Clay,54.1,EXC001,OP1001,2025-05-14T07:46:00Z,data-001-v1,42
T0587,Demolition,Cloudy,Expert,3.4,86.0,74.0,synthetic,31.8,Clay,47.7,EXC001,OP2001,2025-05-14T08:01:00Z,data-001-v1,42
T0454,Grading,Rainy,Intermediate,6.0,32.0,51.0,synthetic,29.5,Gravel,25.0,EXC002,OP1001,2025-05-14T08:24:00Z,data-001-v1,42
T0556,Demolition,Cloudy,Intermediate,2.8,90.0,117.0,synthetic,25.7,Clay,33.7,EXC001,OP2001,2025-05-14T10:46:00Z,data-001-v1,42
T0319,Material Loading,Sunny,Beginner,3.3,29.0,42.0,synthetic,31.3,Clay,48.0,EXC001,OP1001,2025-05-14T10:47:00Z,data-001-v1,42
T0567,Demolition,Windy,Intermediate,5.5,86.0,110.0,synthetic,25.5,Sand,38.2,EXC002,OP2001,2025-05-14T11:03:00Z,data-001-v1,42
T0331,Material Loading,Cloudy,Beginner,3.1,26.0,39.0,synthetic,9.3,Clay,7.1,EXC001,OP1001,2025-05-14T12:32:00Z,data-001-v1,42
T0160,Earth Excavation,Cloudy,Intermediate,6.4,58.0,74.0,synthetic,27.1,Clay,54.3,EXC002,OP2001,2025-05-14T15:52:00Z,data-001-v1,42
T0145,Earth Excavation,Sunny,Intermediate,6.4,57.0,61.0,synthetic,33.9,Loam,14.3,EXC002,OP1001,2025-05-14T16:51:00Z,data-001-v1,42
T0571,Demolition,Sunny,Expert,5.9,90.0,81.0,synthetic,14.8,Loam,19.2,EXC002,OP1001,2025-05-14T16:56:00Z,data-001-v1,42
T0113,Earth Excavation,Rainy,Beginner,6.4,59.0,94.0,synthetic,43.8,Loam,35.6,EXC002,OP2001,2025-05-15T07:38:00Z,data-001-v1,42
T0355,Material Loading,Rainy,Intermediate,6.7,30.0,42.0,synthetic,25.9,Loam,40.9,EXC002,OP2001,2025-05-15T08:14:00Z,data-001-v1,42
T0375,Material Loading,Windy,Intermediate,5.1,29.0,45.0,synthetic,25.1,Gravel,12.0,EXC002,OP1001,2025-05-15T08:22:00Z,data-001-v1,42
T0532,Demolition,Windy,Beginner,5.1,93.0,108.0,synthetic,16.7,Loam,16.6,EXC002,OP2001,2025-05-15T09:24:00Z,data-001-v1,42
T0528,Demolition,Cloudy,Beginner,5.8,87.0,113.0,synthetic,20.3,Loam,12.8,EXC002,OP1001,2025-05-15T10:40:00Z,data-001-v1,42
T0522,Demolition,Cloudy,Beginner,5.3,95.0,116.0,synthetic,20.1,Loam,52.7,EXC002,OP2001,2025-05-15T11:19:00Z,data-001-v1,42
T0123,Earth Excavation,Cloudy,Beginner,5.6,58.0,73.0,synthetic,23.7,Sand,34.7,EXC002,OP2001,2025-05-15T11:55:00Z,data-001-v1,42
T0496,Grading,Cloudy,Expert,3.1,40.0,52.0,synthetic,28.0,Sand,24.1,EXC001,OP1001,2025-05-15T12:01:00Z,data-001-v1,42
T0179,Earth Excavation,Sunny,Expert,2.1,64.0,53.0,synthetic,17.6,Gravel,38.3,EXC001,OP2001,2025-05-15T12:52:00Z,data-001-v1,42
T0323,Material Loading,Rainy,Beginner,5.5,32.0,52.0,synthetic,28.6,Clay,42.9,EXC002,OP1001,2025-05-15T13:16:00Z,data-001-v1,42
T0435,Grading,Windy,Beginner,1.7,36.0,45.0,synthetic,30.9,Gravel,53.0,EXC001,OP1001,2025-05-15T14:53:00Z,data-001-v1,42
T0564,Demolition,Windy,Intermediate,6.8,81.0,115.0,synthetic,31.0,Sand,10.4,EXC002,OP2001,2025-05-15T15:19:00Z,data-001-v1,42
T0280,Trenching,Windy,Intermediate,2.4,45.0,51.0,synthetic,37.3,Sand,52.3,EXC001,OP1001,2025-05-15T16:05:00Z,data-001-v1,42
T0504,Grading,Windy,Expert,3.0,32.0,37.0,synthetic,22.7,Clay,45.4,EXC001,OP2001,2025-05-16T06:03:00Z,data-001-v1,42
T0193,Earth Excavation,Cloudy,Expert,3.4,60.0,72.0,synthetic,10.9,Gravel,10.4,EXC001,OP2001,2025-05-16T08:05:00Z,data-001-v1,42
T0572,Demolition,Sunny,Expert,2.1,94.0,90.0,synthetic,20.4,Loam,32.3,EXC001,OP2001,2025-05-16T08:19:00Z,data-001-v1,42
T0519,Demolition,Rainy,Beginner,6.2,100.0,82.0,synthetic,32.2,Clay,33.5,EXC002,OP2001,2025-05-16T08:47:00Z,data-001-v1,42
T0382,Material Loading,Sunny,Expert,2.2,30.0,41.0,synthetic,31.3,Sand,45.9,EXC001,OP1001,2025-05-16T08:51:00Z,data-001-v1,42
T0256,Trenching,Rainy,Intermediate,3.8,46.0,67.0,synthetic,21.4,Clay,55.0,EXC001,OP1001,2025-05-16T10:01:00Z,data-001-v1,42
T0595,Demolition,Windy,Expert,6.3,83.0,105.0,synthetic,36.5,Loam,22.6,EXC002,OP2001,2025-05-16T10:08:00Z,data-001-v1,42
T0376,Material Loading,Windy,Intermediate,3.8,30.0,28.0,synthetic,13.1,Sand,34.5,EXC001,OP1001,2025-05-16T10:53:00Z,data-001-v1,42
T0555,Demolition,Cloudy,Intermediate,3.8,91.0,98.0,synthetic,33.5,Loam,8.5,EXC001,OP2001,2025-05-16T12:38:00Z,data-001-v1,42
T0357,Material Loading,Rainy,Intermediate,3.1,32.0,35.0,synthetic,22.8,Loam,45.5,EXC001,OP2001,2025-05-16T13:15:00Z,data-001-v1,42
T0340,Material Loading,Windy,Beginner,6.5,33.0,46.0,synthetic,14.5,Loam,49.9,EXC002,OP1001,2025-05-16T14:51:00Z,data-001-v1,42
T0428,Grading,Cloudy,Beginner,6.2,36.0,46.0,synthetic,24.9,Sand,22.5,EXC002,OP2001,2025-05-16T17:23:00Z,data-001-v1,42
T0286,Trenching,Sunny,Expert,5.2,50.0,43.0,synthetic,25.4,Sand,53.9,EXC002,OP2001,2025-05-17T06:03:00Z,data-001-v1,42
T0581,Demolition,Rainy,Expert,5.4,78.0,105.0,synthetic,27.4,Gravel,53.4,EXC002,OP1001,2025-05-17T07:18:00Z,data-001-v1,42
T0217,Trenching,Sunny,Beginner,3.2,41.0,63.0,synthetic,25.5,Loam,38.7,EXC001,OP1001,2025-05-17T09:05:00Z,data-001-v1,42
T0253,Trenching,Sunny,Intermediate,3.5,38.0,52.0,synthetic,22.2,Clay,27.9,EXC001,OP2001,2025-05-17T09:59:00Z,data-001-v1,42
T0354,Material Loading,Rainy,Intermediate,6.2,27.0,37.0,synthetic,24.4,Sand,67.1,EXC002,OP2001,2025-05-17T11:13:00Z,data-001-v1,42
T0480,Grading,Sunny,Expert,2.6,37.0,30.0,synthetic,19.7,Loam,24.6,EXC001,OP2001,2025-05-17T11:38:00Z,data-001-v1,42
T0300,Trenching,Cloudy,Expert,3.0,50.0,40.0,synthetic,29.6,Clay,14.2,EXC001,OP2001,2025-05-17T12:07:00Z,data-001-v1,42
T0257,Trenching,Rainy,Intermediate,6.5,43.0,53.0,synthetic,28.2,Loam,55.7,EXC002,OP2001,2025-05-17T13:20:00Z,data-001-v1,42
T0535,Demolition,Windy,Beginner,2.7,93.0,66.0,synthetic,17.8,Sand,28.8,EXC001,OP2001,2025-05-17T13:26:00Z,data-001-v1,42
T0284,Trenching,Sunny,Expert,3.1,44.0,43.0,synthetic,23.5,Clay,44.3,EXC001,OP1001,2025-05-17T13:27:00Z,data-001-v1,42
T0182,Earth Excavation,Rainy,Expert,6.9,66.0,68.0,synthetic,28.1,Gravel,53.3,EXC002,OP2001,2025-05-17T13:30:00Z,data-001-v1,42
T0543,Demolition,Sunny,Intermediate,3.4,99.0,103.0,synthetic,20.9,Gravel,50.8,EXC001,OP2001,2025-05-17T14:58:00Z,data-001-v1,42
T0402,Material Loading,Windy,Expert,5.0,32.0,41.0,synthetic,21.6,Loam,28.4,EXC002,OP2001,2025-05-17T15:37:00Z,data-001-v1,42
T0431,Grading,Cloudy,Beginner,2.1,36.0,50.0,synthetic,23.7,Loam,48.3,EXC001,OP1001,2025-05-17T15:54:00Z,data-001-v1,42
T0425,Grading,Cloudy,Beginner,3.6,31.0,48.0,synthetic,37.2,Clay,51.1,EXC001,OP1001,2025-05-17T16:09:00Z,data-001-v1,42
T0114,Earth Excavation,Rainy,Beginner,3.8,63.0,81.0,synthetic,36.4,Sand,35.3,EXC001,OP2001,2025-05-17T16:59:00Z,data-001-v1,42
